"School Name","Region"
"A B Paterson College","QLD"
"Abbotsleigh","NSW"
"Aberfoyle Park High School","SA"
"Aboriginal & Islander Independent Community School","QLD"
"Acacia Hill School","NT"
"Academy of Mary Immaculate","VIC"
"Adass Israel School","VIC"
"Adelaide Botanic High School","SA"
"Adelaide East Education Centre","SA"
"Adelaide High School","SA"
"Adelaide International School","SA"
"Adelaide North Special School","SA"
"Adelaide River School","NT"
"Adelaide Secondary School of English","SA"
"Adelaide West Special Education Centre","SA"
"Advance College of Education Incorporated","VIC"
"Aetaomah School","NSW"
"Airds High School","NSW"
"Aitken College","VIC"
"Ajuga School","NSW"
"Al Amanah College","NSW"
"Al Iman College","VIC"
"Al Sadiq College","NSW"
"Al Siraat College","VIC"
"Al Zahra College","NSW"
"Alamanda K-9 College","VIC"
"Al-Ameen College","WA"
"Albany Creek State High School","QLD"
"Albany Secondary Education Support Centre","WA"
"Albany Senior High School","WA"
"Albert Park College","VIC"
"Albert Park Flexible Learning Centre","QLD"
"Albion Park High School","NSW"
"Albury High School","NSW"
"Alcoota School","NT"
"Aldridge State High School","QLD"
"Alekarenge School","NT"
"Alesco Illawarra","NSW"
"Alesco Senior College","NSW"
"Alexandra Hills State High School","QLD"
"Alexandra Secondary College","VIC"
"Alexandria Park Community School","NSW"
"Al-Faisal College","NSW"
"Al-Faisal College - Campbelltown","NSW"
"Al-Faisal College - Liverpool","NSW"
"Alfred Deakin High School","ACT"
"Alia College","VIC"
"Alice Miller School","VIC"
"Alice Springs School Of The Air","NT"
"Alice Springs Steiner School","NT"
"Alkimos Baptist College","WA"
"Alkimos College","WA"
"Alkira Secondary College","VIC"
"All Hallows' School","QLD"
"All Saints Anglican School","QLD"
"All Saints Catholic College","NSW"
"All Saints Catholic College","NSW"
"All Saints Catholic Senior College","NSW"
"All Saints' College","WA"
"All Saints College (St Mary's Campus)","NSW"
"All Saints College (St Peter's Campus)","NSW"
"All Saints' College Bathurst","NSW"
"All Saints Grammar","NSW"
"All Souls St Gabriels School","QLD"
"Allegra School Coffs Harbour","NSW"
"Allendale East Area School","SA"
"Allora P-10 State School","QLD"
"Alpha Omega Senior College","NSW"
"Alpha State School","QLD"
"Alphington Grammar School","VIC"
"Alpurrurulam School","NT"
"Alstonville High School","NSW"
"Alta-1 College","WA"
"Alta-1 College","QLD"
"Al-Taqwa College","VIC"
"Altona College","VIC"
"Alyangula Area School","NT"
"Alyarrmandumanja Umbakumba School","NT"
"Amanbidji School","NT"
"Amaroo School","ACT"
"Amata Anangu School","SA"
"Ambarvale High School","NSW"
"Ambrose Treacy College","QLD"
"Amity College, Prestons","NSW"
"Ampilatwatja School","NT"
"Andale School","VIC"
"Angelorum College","QLD"
